Comment,Designator,Footprint,JLCPCB Part #（optional）,,
10pF,"C5,C10,C18",C_0201_0603Metric,C2991796 ,CL03C100JB3GNNC,Samsung Electro-Mechanics
4.7uF,"C12,C13,C46,C47,C77",C_0402_1005Metric,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics
10uF,"C6,C7,C8,C9,C11,C14,C15,C16,C17,C29",C_0402_1005Metric,C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics
1uF,"C3,C21,C22,C34,C35,C36,C37",C_0402_1005Metric,C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics
22uF,"C23,C24",C_0603_1608Metric,C59461,CL10A226MQ8NRNC,Samsung Electro-Mechanics
10nF,"C1,C19,C25,C49,C48,C52,C53,C56,C58,C60,C62,C63,C66,C67,C74,C76",C_0201_0603Metric,C87461,CL03B103KP3NNNC,Samsung Electro-Mechanics
100nF,"C2,C4,C20,C26,C27,C28,C30,C31,C32,C33,C50,C51,C54,C55,C57,C59,C61,C64,C65,C68,C69,C70,C71,C75",C_0201_0603Metric,C49062,CL03A104KP3NNNC,Samsung Electro-Mechanics
LED_ARGB,"D1,D2",0404LED_RGB,C3018569,SML-P24MUWT86R,ROHM Semicon
600R,"FB2,FB3,FB1",L_0402_1005Metric,C76813,MPZ1005S600CT000,TDK
MicroSd,J4,molex_microsd_1040310811,C585350,1040310811,MOLEX
JST,J5,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C295747,S2B-PH-SM4-TB(LF)(SN),JST Commercial
Conn_01x05_Male,J6,PinHeader_1x05_P2.54mm_Vertical,,,
2.2uH,"L1,L2,L3",L_0805_2012Metric,C86089,LQM21PN2R2NGCD,Murata Electronics
KC2520B48.0000C10E00,OSC1,Oscilator_2.5x2.0,C390548,C390534,Seiko Epson
10k,"R7,R25,R26,R32,R33,R28,R40,R41,R42,R43,R44,R45",R_0201_0603Metric,C106225,RC0201FR-0710KL,YAGEO
4.7k,"R8,R23,R4,R30,R39,R27",R_0201_0603Metric,C138135 ,RC0201FR-074K7L,YAGEO
1k,"R2,R1",R_0201_0603Metric,C138165,RC0201FR-071KL,YAGEO
3.57k,"R9,R24",R_0201_0603Metric,C474659,RC0201FR-073K57L,YAGEO
56.2k,R10,R_0201_0603Metric,C327383,RC0201FR-0756K2L,YAGEO
3.09k,R11,R_0201_0603Metric,C474645,RC0201FR-073K09L,YAGEO
4.32k,R12,R_0201_0603Metric,C474708,RC0201FR-074K32L,YAGEO
5.1k,"R14,R16,R46",R_0201_0603Metric,C163490,RC0201JR-075K1L,YAGEO
51R,"R3,R6,R5,R13,R48,R50,R51,R49",R_0201_0603Metric,C163499,RC0201FR-0751RL,YAGEO
100k,R17,R_0201_0603Metric,C106224,RC0201FR-07100KL,YAGEO
DNP,"R18,R36",R_0201_0603Metric,,,
240R,R19,R_0402_1005Metric,C137896,RC0402JR-07240RL,YAGEO
1.5k,"R20,R22,R31",R_0201_0603Metric,C155737,RC0201FR-071K5L,YAGEO
20R,"R21,R29",R_0201_0603Metric,C138113,RC0201JR-0720RL,YAGEO
150k,R34,R_0201_0603Metric,C274346 ,RC0201FR-07150KL,YAGEO
120k,"R35,R15",R_0201_0603Metric,C274880 ,RC0201JR-07120KL,YAGEO
360k,R37,R_0201_0603Metric,C295795,RC0201FR-07360KL,YAGEO
82k,R38,R_0201_0603Metric,C273288,RC0201FR-0782KL,YAGEO
SW_Push,SW1,PTS_810_SMT_Switch,C221897,PTS810SJK250SMTRLFS,
TLV62569DRL,"U1,U2,U7",SOT-563,C163217,TLV62569DRLR,TI
NCP115-2.5,U10,Texas_X2SON-4_1x1mm_P0.65mm,C2867028,TLV73325PDQNR,TI
LFE5U-25F-8MG285C,U3,csBGA285,C5664013,,Lattice
MT41K64M16TW-107_J-TR,U4,BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm,C75475,,TI
BQ24232,U5,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,C528622,BQ24232RGTR ,
W25Q128JVP,U6,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,C190862,W25Q128JVPIQ,
74HC4067BQ,U9,Texas_RGY_R-PVQFN-N24_EP2.05x3.1mm,C547033,,
