Designator,MidX,MidY,Layer,Rotation
C1,29.392,17.22,bottom,90
C4,30.783,17.22,bottom,90
C19,29.52,10.979999,bottom,180
C20,26.49,11.479999,bottom,180
C25,26.74,9.379999,bottom,-90
C26,29.84,7.629999,bottom,-90
C27,45,12,bottom,90
C28,28.192,17.272,bottom,90
C29,10.417,19.88,bottom,-90
C30,34.66,5.46,bottom,180
C31,44.46,5.96,bottom,90
C32,44.275,14.392,bottom,90
C33,37.15,5.09,bottom,180
C34,43.2,6.02,bottom,-90
C35,45,8.37,bottom,0
C36,37.2,17.77,bottom,90
C37,34.65,6.28,bottom,180
C48,27.3557,14.1986,bottom,-90
C49,28.69,14.1605,bottom,-90
C50,26.69,12.929999,bottom,90
C51,23.69,14.829999,bottom,90
C52,25.29,16.979999,bottom,180
C53,23.69,10.979999,bottom,-90
C54,25.59,13.479999,bottom,0
C55,29.14,11.979999,bottom,180
C56,25.64,14.479999,bottom,0
C57,25.19,11.879999,bottom,90
C58,26.69,14.429999,bottom,-90
C59,30.0481,14.4272,bottom,0
C60,28.14,12.979999,bottom,180
C61,27.19,16.179999,bottom,90
C62,28.0288,14.1859,bottom,-90
C63,23.69,15.979999,bottom,180
C64,28.59,9.529999,bottom,180
C65,26.04,15.479999,bottom,0
C66,24.44,9.829999,bottom,-90
C67,22.9107,12.9794,bottom,0
C68,29.0194,15.4559,bottom,180
C69,28.56,5.98,bottom,-90
C70,6.567,18.955,bottom,-90
C71,12.6873,2.9337,bottom,0
FB1,11.44,19.879999,bottom,90
FID1,2.917,16.955,bottom,0
FID3,47.95,17.8,bottom,0
FID5,45.69,3.62,bottom,0
J4,6.858,11.505,bottom,90
R3,22.067,10.98,bottom,-90
R5,43.8,11.6,bottom,180
R6,21.392,10.98,bottom,-90
R13,43.8,10.925,bottom,180
R19,38.392,14.405,bottom,0
R27,22.875,13.975,bottom,180
R28,11.217,18.255,bottom,180
R31,29.25,5.975,bottom,90
R40,9.2,20,bottom,-90
R41,8.6,20,bottom,-90
R42,8,20,bottom,-90
R43,7.4,20,bottom,-90
R44,24.325,17.475,bottom,90
R45,23.7,17.475,bottom,90
R46,22.775,17.5,bottom,90
R48,21.6,13.6,bottom,90
R49,21.45,15.5,bottom,90
R50,22.025,15.5,bottom,90
R51,22.6,15.5,bottom,90
U9,24.295,5.67,bottom,90
C2,46.44,16.53,top,0
C3,46.435,15.725,top,0
C5,14.625,6.15,top,180
C6,17,7.15,top,180
C7,16.95,10.5,top,90
C8,15.4,15.975,top,-90
C9,16.375,15.975,top,-90
C10,16.375001,13.875,top,90
C11,10.025,4.55,top,0
C12,12.823,10.16,top,0
C13,7.4,11.47,top,90
C14,14.95,8.025,top,180
C15,11.865,3.556,top,0
C16,14.95,7.15,top,180
C17,11.865,4.445001,top,0
C18,12.275,6.075,top,0
C21,34.29,5.979999,top,180
C22,41.49,4.179999,top,180
C23,35.89,4.179999,top,0
C24,44.49,4.179999,top,0
C46,19.33,4.295,top,90
C47,22.18,4.5,top,-90
C74,35.342,12.33,top,90
C75,34.117,13.63,top,0
C76,48.99,11.029999,top,0
C77,11.45,12.319,top,0
D1,2.54,17.145,top,-90
D2,2.54,5.715,top,-90
FB2,33.69,4.379999,top,-90
FB3,39.39,4.179999,top,180
FID2,10.75,19.65,top,0
FID4,47.1,7.95,top,0
FID6,48.3,17.55,top,0
J3,2.1,11.43,top,-90
J5,10.7,15.5,top,0
L1,14.5,4.25,top,180
L2,15,13.025,top,90
L3,12.425,7.25,top,0
OSC1,33.667,11.605,top,90
R1,46.43,14.94,top,180
R2,46.42,14.23,top,0
R4,48.99,11.779999,top,180
R7,7.747,7.86,top,180
R8,12.061,9.017,top,-90
R9,7.652,14,top,0
R10,9.6,12.5,top,0
R11,12.569,10.922,top,180
R12,7.652,13.35,top,0
R14,4.1,6.1,top,0
R15,15.675,5.775,top,90
R16,4.125,16.75,top,0
R17,14.625,5.425,top,180
R20,24.49,19.03,top,180
R21,22.967,19.03,top,0
R22,5.6,18.41,top,180
R23,5.6,17.61,top,180
R24,5.6,16.81,top,180
R25,8.45,6.925,top,90
R26,7.652,12.714999,top,0
R29,22.967,19.655,top,180
R30,21.995,6.465,top,0
R32,12.9286,13.6683,top,-90
R33,12.928601,12.2555,top,-90
R34,17.1,13.875,top,90
R35,16.375,12.375,top,-90
R37,12.275,5.35,top,0
R38,11.225,5.7,top,-90
R39,21.995,5.84,top,0
SW1,47.39,7.929999,top,90
U1,17.125,5.275,top,-90
U2,15.2,10.375,top,180
U3,26.69,13.479999,top,-90
U4,40.34,11.98,top,180
U5,9.775,9.906,top,0
U6,29.375,5.73,top,90
U7,9.8,6.375,top,90
U10,20.705,4.32,top,180
