# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
1,PL2A,7,-,True_OF_PL2B,TRUE,LDQ8,C12
2,PL2B,7,-,Comp_OF_PL2A,TRUE,LDQ8,B12
3,VSSIO7,-,-,-,-,-,-
4,PL2C,7,-,True_OF_PL2D,-,LDQ8,-
5,VCCIO7,-,-,-,-,-,-
6,PL2D,7,-,Comp_OF_PL2C,-,LDQ8,-
7,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,A12
8,VCCAUX,-,-,-,-,-,-
9,PL5C,7,-,True_OF_PL5D,-,LDQ8,-
10,PL5B,7,-,Comp_OF_PL5A,TRUE,LDQ8,-
11,VSS,-,-,-,-,-,-
12,PL5D,7,-,Comp_OF_PL5C,-,LDQ8,-
13,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,D13
14,VCC,-,-,-,-,-,-
15,PL8C,7,-,True_OF_PL8D,-,LDQ8,-
16,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,C13
17,VSS,-,-,-,-,-,-
18,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,-
19,PL11A,7,-,True_OF_PL11B,TRUE,LDQ8,-
20,VSSIO7,-,-,-,-,-,-
21,PL11C,7,-,True_OF_PL11D,-,LDQ8,-
22,PL11B,7,-,Comp_OF_PL11A,TRUE,LDQ8,-
23,VCCIO7,-,-,-,-,-,-
24,PL11D,7,-,Comp_OF_PL11C,-,LDQ8,-
25,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,B13
26,VSSIO7,-,-,-,-,-,-
27,PL14C,7,VREF1_7,True_OF_PL14D,-,LDQ20,C15
28,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,A13
29,VCCIO7,-,-,-,-,-,-
30,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,A15
31,PL17A,7,-,True_OF_PL17B,TRUE,LDQ20,D15
32,VCCAUX,-,-,-,-,-,-
33,PL17C,7,-,True_OF_PL17D,-,LDQ20,-
34,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQ20,D16
35,VSS,-,-,-,-,-,-
36,PL17D,7,-,Comp_OF_PL17C,-,LDQ20,-
37,PL20A,7,GR_PCLK7_1,True_OF_PL20B,TRUE,LDQS20,B15
38,VCC,-,-,-,-,-,-
39,PL20C,7,GR_PCLK7_0,True_OF_PL20D,-,LDQ20,C16
40,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,A16
41,VSS,-,-,-,-,-,-
42,PL20D,7,-,Comp_OF_PL20C,-,LDQ20,-
43,PL23A,7,PCLKT7_1,True_OF_PL23B,TRUE,LDQ20,A17
44,VSSIO7,-,-,-,-,-,-
45,PL23C,7,PCLKT7_0,True_OF_PL23D,-,LDQ20,B18
46,PL23B,7,PCLKC7_1,Comp_OF_PL23A,TRUE,LDQ20,B17
47,VCCIO7,-,-,-,-,-,-
48,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,C17
49,PL26A,6,PCLKT6_1,True_OF_PL26B,TRUE,LDQ32,D17
50,VSSIO6,-,-,-,-,-,-
51,PL26C,6,PCLKT6_0,True_OF_PL26D,-,LDQ32,D18
52,PL26B,6,PCLKC6_1,Comp_OF_PL26A,TRUE,LDQ32,C18
53,VCCIO6,-,-,-,-,-,-
54,PL26D,6,PCLKC6_0,Comp_OF_PL26C,-,LDQ32,F18
55,PL29A,6,GR_PCLK6_0,True_OF_PL29B,TRUE,LDQ32,F17
56,VCCAUX,-,-,-,-,-,-
57,PL29C,6,GR_PCLK6_1,True_OF_PL29D,-,LDQ32,F15
58,PL29B,6,-,Comp_OF_PL29A,TRUE,LDQ32,F16
59,VSS,-,-,-,-,-,-
60,PL29D,6,-,Comp_OF_PL29C,-,LDQ32,G16
61,PL32A,6,-,True_OF_PL32B,TRUE,LDQS32,G18
62,VCC,-,-,-,-,-,-
63,PL32C,6,-,True_OF_PL32D,-,LDQ32,-
64,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,H17
65,VSS,-,-,-,-,-,-
66,PL32D,6,-,Comp_OF_PL32C,-,LDQ32,-
67,PL35A,6,-,True_OF_PL35B,TRUE,LDQ32,G15
68,VSSIO6,-,-,-,-,-,-
69,PL35C,6,-,True_OF_PL35D,-,LDQ32,H16
70,PL35B,6,VREF1_6,Comp_OF_PL35A,TRUE,LDQ32,H15
71,VCCIO6,-,-,-,-,-,-
72,PL35D,6,-,Comp_OF_PL35C,-,LDQ32,J16
73,PL38A,6,-,True_OF_PL38B,TRUE,LDQ44,-
74,VSSIO6,-,-,-,-,-,-
75,PL38C,6,-,True_OF_PL38D,-,LDQ44,J17
76,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ44,-
77,VCCIO6,-,-,-,-,-,-
78,PL38D,6,-,Comp_OF_PL38C,-,LDQ44,H18
79,PL41A,6,-,True_OF_PL41B,TRUE,LDQ44,J18
80,VCCAUX,-,-,-,-,-,-
81,PL41C,6,-,True_OF_PL41D,-,LDQ44,K16
82,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQ44,K18
83,VSS,-,-,-,-,-,-
84,PL41D,6,-,Comp_OF_PL41C,-,LDQ44,K15
85,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,K17
86,VCC,-,-,-,-,-,-
87,PL44C,6,-,True_OF_PL44D,-,LDQ44,L15
88,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,L18
89,VSS,-,-,-,-,-,-
90,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,L16
91,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,-
92,VSSIO6,-,-,-,-,-,-
93,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,-
94,VCCIO6,-,-,-,-,-,-
95,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,M16
96,PL47D,6,LLC_GPLL0C_IN,Comp_OF_PL47C,-,LDQ44,M17
97,NC,-,-,-,-,-,-
98,NC,-,-,-,-,-,-
99,GND,-,-,-,-,-,-
100,VCC,-,-,-,-,-,-
101,VCC,-,-,-,-,-,-
102,VSS,-,-,-,-,-,-
103,PB4A,8,D7/IO7,True_OF_PB4B,-,-,N15
104,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,N17
105,VCC,-,-,-,-,-,-
106,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,N16
107,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,M18
108,VSS,-,-,-,-,-,-
109,PB9A,8,D3/IO3,True_OF_PB9B,-,-,N18
110,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,T18
111,VSSIO8,-,-,-,-,-,-
112,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,R18
113,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,U18
114,VCCIO8,-,-,-,-,-,-
115,PB13A,8,SN/CSN,True_OF_PB13B,-,-,R17
116,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,U17
117,VSSIO8,-,-,-,-,-,-
118,PB13B,8,CS1N,Comp_OF_PB13A,-,-,T17
119,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,V17
120,VCCIO8,-,-,-,-,-,-
121,PB18A,8,WRITEN,-,-,-,R16
122,INITN,8,-,-,-,-,V16
123,VCCAUX,-,-,-,-,-,-
124,CCLK,8,MCLK/SCK,-,-,-,U16
125,PROGRAMN,8,-,-,-,-,T15
126,VSS,-,-,-,-,-,-
127,DONE,8,-,-,-,-,U15
128,CFG_1,8,-,-,-,-,T14
129,VCC,-,-,-,-,-,-
130,CFG_2,8,-,-,-,-,V15
131,CFG_0,8,-,-,-,-,U14
132,VSS,-,-,-,-,-,-
133,TDO,40,-,-,-,-,V14
134,TCK,40,-,-,-,-,U13
135,VSSIO8,-,-,-,-,-,-
136,TDI,40,-,-,-,-,T13
137,TMS,40,-,-,-,-,V13
138,VCCIO8,-,-,-,-,-,-
139,VCC,-,-,-,-,-,-
140,VCC,-,-,-,-,-,-
141,VSS,-,-,-,-,-,-
142,VSS,-,-,-,-,-,-
143,VCC,-,-,-,-,-,-
144,VCC,-,-,-,-,-,-
145,VSSA0_D0CH0,-,-,-,-,-,-
146,VCCATX0_D0CH0,-,-,-,-,-,-
147,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-,V12
148,VCCHTX0_D0CH0,-,-,-,-,-,U12
149,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,V11
150,VSSA0_D0CH0,-,-,-,-,-,-
151,VCCARX0_D0CH0,-,-,-,-,-,-
152,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,V9
153,VCCARX0_D0CH0,-,-,-,-,-,-
154,VCCHRX0_D0CH0,-,-,-,-,-,U8
155,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,V8
156,VSSA0_D0CH0,-,-,-,-,-,-
157,VSSA1_D0CH1,-,-,-,-,-,-
158,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,V6
159,VCCARX1_D0CH1,-,-,-,-,-,-
160,VCCHRX1_D0CH1,-,-,-,-,-,U6
161,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,V5
162,VCCARX1_D0CH1,-,-,-,-,-,-
163,VSSA1_D0CH1,-,-,-,-,-,-
